ändamål	redovisningsgrupp	tabellinnehåll	år	Användning av AI-baserad mjukvara eller system
marknadföring eller försäljning	andra tjänsteföretag (SNI 69-74, 77-82, 95.1)	felmarginal, ±	2024	..
marknadföring eller försäljning	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2021	..
marknadföring eller försäljning	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2023	5
marknadföring eller försäljning	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	andel, procent	2024	14
marknadföring eller försäljning	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2021	..
marknadföring eller försäljning	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2023	2
marknadföring eller försäljning	andra tjänsteföretag (SNI 69-75, 77-82, 95.1)	felmarginal, ±	2024	3
marknadföring eller försäljning	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2021	10
marknadföring eller försäljning	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2023	10
marknadföring eller försäljning	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	andel, procent	2024	26
marknadföring eller försäljning	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2021	4
marknadföring eller försäljning	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2023	4
marknadföring eller försäljning	IKT-sektorn (SNI 26.1-26.4, 26.8, 46.5, 58.2, 61-62, 63.1, 95.1)	felmarginal, ±	2024	6
produktions- eller serviceprocesser	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2021	2
produktions- eller serviceprocesser	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2023	3
produktions- eller serviceprocesser	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2024	5
produktions- eller serviceprocesser	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2021	0
produktions- eller serviceprocesser	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2023	1
produktions- eller serviceprocesser	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2024	1
produktions- eller serviceprocesser	tillverkningsindustri (SNI 10-33)	andel, procent	2021	3
produktions- eller serviceprocesser	tillverkningsindustri (SNI 10-33)	andel, procent	2023	3
produktions- eller serviceprocesser	tillverkningsindustri (SNI 10-33)	andel, procent	2024	4
produktions- eller serviceprocesser	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2021	1
produktions- eller serviceprocesser	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2023	1
produktions- eller serviceprocesser	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2024	1
produktions- eller serviceprocesser	energi och återvinning (SNI 35-39)	andel, procent	2021	7
produktions- eller serviceprocesser	energi och återvinning (SNI 35-39)	andel, procent	2023	6
produktions- eller serviceprocesser	energi och återvinning (SNI 35-39)	andel, procent	2024	6
produktions- eller serviceprocesser	energi och återvinning (SNI 35-39)	felmarginal, ±	2021	2
produktions- eller serviceprocesser	energi och återvinning (SNI 35-39)	felmarginal, ±	2023	2
produktions- eller serviceprocesser	energi och återvinning (SNI 35-39)	felmarginal, ±	2024	2
produktions- eller serviceprocesser	byggindustri (SNI 41-43)	andel, procent	2021	0
produktions- eller serviceprocesser	byggindustri (SNI 41-43)	andel, procent	2023	0
